Flow_id,device,eth_Type,timeout,bord,nmbr_occ,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,total packets,total bytes,tot_forward_pkts,tot_backward_pkts,tot_forward_len_pkts,tot_backward_len_pkts,Pkts_len_mean,Flow Pkts/s,Flow Byts/s,Frd Flow PKts/s,Bwd Flow Pkts/s,Frd Flow Byts/s,Bwd Flow Byts/s,Frd_pkts_max_interval_2s,Frd_pkts_min_interval_2s,Frd_pkts_mean_interval_2s,Frd_pkts_std_interval_2s,Bwd_pkts_max_interval_2s,Bwd_pkts_min_interval_2s,Bwd_pkts_mean_interval_2s,Bwd_pkts_std_interval_2s,Frd_bytes_max_interval_2s,Frd_bytes_min_interval_2s,Frd_bytes_mean_interval_2s,Frd_bytes_std_interval_2s,Bwd_bytes_max_interval_2s,Bwd_bytes_min_interval_2s,Bwd_bytes_mean_interval_2s,Bwd_bytes_std_interval_2s,Idle_Max,Idle_Min,Idle_Mean,Idle_Std,Active_Max,Active_Min,Active_Mean,Active_Std,Total_packets_src,Total_bytes_src,Number_of_flows_src,Total_packets_dst,Total_bytes_dst,Number_of_flows_dst,timestamp
45880421652483853,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,8,42,6770,24,18,3982,2788,161.1904761904762,5.25,846.25,3.0,2.25,497.75,348.5,9.0,1.0,5.75,3.4,9.0,0.0,4.0,3.74,2580.0,66.0,979.0,1103.49,1734.0,0.0,659.0,755.38,0,0,0,0,8000,8000,8000,0,33.0,6562.0,2.0,33.0,6562.0,2.0,80785617
45880421724559136,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,1,18,4334,9,9,2580,1754,240.77777777777777,18.0,4334.0,9.0,9.0,2580.0,1754.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,2580.0,2580.0,2580.0,0.0,1754.0,1754.0,1754.0,0.0,0,0,0,0,2000,2000,2000,0,33.0,6562.0,2.0,33.0,6562.0,2.0,80785617
45880422980825784,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,1,18,4334,9,9,2580,1754,240.77777777777777,18.0,4334.0,9.0,9.0,2580.0,1754.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,2580.0,2580.0,2580.0,0.0,1754.0,1754.0,1754.0,0.0,0,0,0,0,2000,2000,2000,0,33.0,6562.0,2.0,33.0,6562.0,2.0,80785503
45880425430134342,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,8,42,6770,24,18,3982,2788,161.1904761904762,5.68,917.36,3.43,2.25,568.86,348.5,10.0,4.0,6.0,2.83,11.0,2.0,4.5,4.36,2646.0,400.0,995.5,1102.2,1886.0,284.0,697.0,792.79,0,0,0,0,8000,8000,8000,0,33.0,6562.0,2.0,33.0,6562.0,2.0,80785503
45880421652483853,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,10,42,6770,24,18,3982,2788,161.1904761904762,4.2,677.0,2.4,1.8,398.2,278.8,9.0,0.0,4.6,3.91,9.0,0.0,3.2,3.7,2580.0,0.0,783.2,1051.17,1734.0,0.0,527.2,717.5,2000,2000,2000,0,8000,8000,8000,0,37.0,6962.0,2.0,37.0,6962.0,2.0,80787619
45880421724559136,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,3,24,5018,13,11,2980,2038,209.08333333333334,8.0,1672.66,4.33,3.67,993.33,679.33,9.0,4.0,6.5,3.54,9.0,2.0,5.5,4.95,2580.0,400.0,1490.0,1541.49,1754.0,284.0,1019.0,1039.45,0,0,0,0,4000,4000,4000,0,37.0,6962.0,2.0,37.0,6962.0,2.0,80787619
45880422980825784,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,3,24,5018,13,11,2980,2038,209.08333333333334,8.0,1672.66,4.33,3.67,993.33,679.33,9.0,4.0,6.5,3.54,9.0,2.0,5.5,4.95,2580.0,400.0,1490.0,1541.49,1754.0,284.0,1019.0,1039.45,0,0,0,0,4000,4000,4000,0,37.0,6962.0,2.0,37.0,6962.0,2.0,80787502
45880425430134342,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,10,42,6770,24,18,3982,2788,161.1904761904762,4.47,721.24,2.67,1.8,442.44,278.8,10.0,0.0,4.8,3.63,11.0,0.0,3.6,4.28,2646.0,0.0,796.4,1053.25,1886.0,0.0,557.6,754.02,2000,2000,2000,0,8000,8000,8000,0,37.0,6962.0,2.0,37.0,6962.0,2.0,80787502
45880421652483853,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,12,42,6770,24,18,3982,2788,161.1904761904762,3.5,564.16,2.0,1.5,331.83,232.33,9.0,0.0,3.83,3.97,9.0,0.0,2.67,3.56,2580.0,0.0,652.67,993.07,1734.0,0.0,439.33,676.88,4000,4000,4000,0,8000,8000,8000,0,41.0,7362.0,2.0,41.0,7362.0,2.0,80789619
45880421724559136,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,5,30,5702,17,13,3380,2322,190.06666666666666,6.0,1140.4,3.4,2.6,676.0,464.4,9.0,4.0,5.67,2.89,9.0,2.0,4.33,4.04,2580.0,400.0,1126.67,1258.62,1754.0,284.0,774.0,848.7,0,0,0,0,6000,6000,6000,0,41.0,7362.0,2.0,41.0,7362.0,2.0,80789619
45880422980825784,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,5,30,5702,17,13,3380,2322,190.06666666666666,6.0,1140.4,3.4,2.6,676.0,464.4,9.0,4.0,5.67,2.89,9.0,2.0,4.33,4.04,2580.0,400.0,1126.67,1258.62,1754.0,284.0,774.0,848.7,0,0,0,0,6000,6000,6000,0,41.0,7362.0,2.0,41.0,7362.0,2.0,80789502
45880425430134342,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,12,42,6770,24,18,3982,2788,161.1904761904762,3.68,594.33,2.18,1.5,362.0,232.33,10.0,0.0,4.0,3.79,11.0,0.0,3.0,4.1,2646.0,0.0,663.67,996.58,1886.0,0.0,464.67,711.8,4000,4000,4000,0,8000,8000,8000,0,41.0,7362.0,2.0,41.0,7362.0,2.0,80789502
45880421652483853,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,14,42,6770,24,18,3982,2788,161.1904761904762,3.0,483.57,1.71,1.29,284.43,199.14,9.0,0.0,3.29,3.9,9.0,0.0,2.29,3.4,2580.0,0.0,559.43,939.51,1734.0,0.0,376.57,639.83,6000,6000,6000,0,8000,8000,8000,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80791620
45880421277443602,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42170,0,22,4598,11,11,2712,1886,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80791619
45880421724559136,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,7,39,6556,23,16,3916,2640,168.10256410256412,5.58,936.5699999999999,3.29,2.29,559.43,377.14,9.0,4.0,5.75,2.36,9.0,2.0,4.0,3.37,2580.0,400.0,979.0,1069.26,1754.0,284.0,660.0,729.51,0,0,0,0,8000,8000,8000,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80791619
45880424032459045,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42170,0,22,4598,11,11,2712,1886,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80791503
45880422980825784,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,7,39,6556,23,16,3916,2640,168.10256410256412,5.58,936.5699999999999,3.29,2.29,559.43,377.14,9.0,4.0,5.75,2.36,9.0,2.0,4.0,3.37,2580.0,400.0,979.0,1069.26,1754.0,284.0,660.0,729.51,0,0,0,0,8000,8000,8000,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80791503
45880425430134342,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,14,42,6770,24,18,3982,2788,161.1904761904762,3.14,505.45,1.85,1.29,306.31,199.14,10.0,0.0,3.43,3.78,11.0,0.0,2.57,3.91,2646.0,0.0,568.86,943.7,1886.0,0.0,398.29,673.1,6000,6000,6000,0,8000,8000,8000,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80791503
45880421652483853,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,16,42,6770,24,18,3982,2788,161.1904761904762,2.62,423.13,1.5,1.12,248.88,174.25,9.0,0.0,2.88,3.8,9.0,0.0,2.0,3.25,2580.0,0.0,489.5,892.02,1734.0,0.0,329.5,607.14,8000,8000,8000,0,8000,8000,8000,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80793619
45880421277443602,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42170,2,22,4598,11,11,2712,1886,209.0,11.0,2299.0,5.5,5.5,1356.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,2000,2000,0,0,0,0,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80793619
45880421724559136,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,9,39,6556,23,16,3916,2640,168.10256410256412,4.34,728.44,2.56,1.78,435.11,293.33,9.0,0.0,4.6,3.29,9.0,0.0,3.2,3.42,2580.0,0.0,783.2,1024.29,1754.0,0.0,528.0,697.32,2000,2000,2000,0,8000,8000,8000,0,58.0,10610.0,3.0,58.0,10610.0,3.0,80793619
45880424032459045,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42170,3,28,5282,15,13,3112,2170,188.64285714285714,9.33,1760.6599999999999,5.0,4.33,1037.33,723.33,4.0,4.0,4.0,0.0,2.0,2.0,2.0,0.0,400.0,400.0,400.0,0.0,284.0,284.0,284.0,0.0,0,0,0,0,2000,2000,2000,0,62.0,11010.0,3.0,62.0,11010.0,3.0,80794502
45880422980825784,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,10,39,6556,23,16,3916,2640,168.10256410256412,3.9,655.6,2.3,1.6,391.6,264.0,9.0,0.0,4.6,3.29,9.0,0.0,3.2,3.42,2580.0,0.0,783.2,1024.29,1754.0,0.0,528.0,697.32,2000,2000,2000,0,8000,8000,8000,0,62.0,11010.0,3.0,62.0,11010.0,3.0,80794502
45880425430134342,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,17,42,6770,24,18,3982,2788,161.1904761904762,2.56,412.88,1.5,1.06,248.88,164.0,10.0,0.0,3.0,3.7,11.0,0.0,2.25,3.73,2646.0,0.0,497.75,896.55,1886.0,0.0,348.5,638.88,8000,8000,8000,0,8000,8000,8000,0,62.0,11010.0,3.0,62.0,11010.0,3.0,80794502
45880421277443602,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42170,4,28,5282,15,13,3112,2170,188.64285714285714,7.0,1320.5,3.75,3.25,778.0,542.5,4.0,0.0,2.0,2.83,2.0,0.0,1.0,1.41,400.0,0.0,200.0,282.84,284.0,0.0,142.0,200.82,2000,2000,2000,0,2000,2000,2000,0,38.0,7028.0,2.0,38.0,7028.0,2.0,80795619
45880421724559136,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,11,39,6556,23,16,3916,2640,168.10256410256412,3.54,596.0,2.09,1.45,356.0,240.0,9.0,0.0,3.83,3.49,9.0,0.0,2.67,3.33,2580.0,0.0,652.67,970.35,1754.0,0.0,440.0,659.9,4000,4000,4000,0,8000,8000,8000,0,38.0,7028.0,2.0,38.0,7028.0,2.0,80795619
45880424032459045,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42170,5,34,5966,19,15,3512,2454,175.47058823529412,6.8,1193.2,3.8,3.0,702.4,490.8,4.0,4.0,4.0,0.0,2.0,2.0,2.0,0.0,400.0,400.0,400.0,0.0,284.0,284.0,284.0,0.0,0,0,0,0,4000,4000,4000,0,42.0,7428.0,2.0,42.0,7428.0,2.0,80796502
45880422980825784,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,12,39,6556,23,16,3916,2640,168.10256410256412,3.25,546.3299999999999,1.92,1.33,326.33,220.0,9.0,0.0,3.83,3.49,9.0,0.0,2.67,3.33,2580.0,0.0,652.67,970.35,1754.0,0.0,440.0,659.9,4000,4000,4000,0,8000,8000,8000,0,42.0,7428.0,2.0,42.0,7428.0,2.0,80796502
45880421277443602,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42170,6,34,5966,19,15,3512,2454,175.47058823529412,5.67,994.33,3.17,2.5,585.33,409.0,4.0,0.0,2.67,2.31,2.0,0.0,1.33,1.15,400.0,0.0,266.67,230.94,284.0,0.0,189.33,163.97,2000,2000,2000,0,4000,4000,4000,0,42.0,7428.0,3.0,42.0,7428.0,3.0,80797619
